dataset,split_type,protocol,seed,train_fraction,comparison,left_model,right_model,metric,n_queries,mean_delta,ci_lower,ci_upper,ci_excludes_zero_positive
movielens_100k,item_cold,global_popularity,0,1.0,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.02345351232142712,0.005,0.04429435932499652,True
movielens_100k,item_cold,global_popularity,0,1.0,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,0.012975964202381243,-0.0034594420749985808,0.031684535123214175,False
movielens_100k,item_cold,global_popularity,1,1.0,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.022347928131728336,0.0038350512755029004,0.04370873314701956,True
movielens_100k,item_cold,global_popularity,1,1.0,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,0.013512017898809379,-0.0001786845654760455,0.03202704027232109,False
movielens_100k,item_cold,global_popularity,2,1.0,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.002997468045019355,-0.002079703257798208,0.011072107392856275,False
movielens_100k,item_cold,global_popularity,2,1.0,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,0.0071311625481858465,-0.010694345431375128,0.029210865805984053,False
movielens_100k,item_cold,context_popularity,0,0.1,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.0036571774782538985,-0.014061590288618643,0.021797735914858413,False
movielens_100k,item_cold,context_popularity,0,0.1,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.047055162799499645,0.016203954996768497,0.08067673135223648,True
movielens_100k,item_cold,context_popularity,1,0.1,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.012101647233488493,-0.0005110476080303264,0.025339291367707698,False
movielens_100k,item_cold,context_popularity,1,0.1,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.09743218721351267,0.058338529432256585,0.13961752301572816,True
movielens_100k,item_cold,context_popularity,2,0.1,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.14690198221386574,-0.189127982754574,-0.10304994609162733,False
movielens_100k,item_cold,context_popularity,2,0.1,best_tabpfn_minus_best_tree,tabpfn,catboost,ndcg@10,100,0.023792762409140238,-0.01590714388617006,0.06562664459437664,False
movielens_100k,item_cold,context_popularity,0,0.2,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,-0.08387262211834763,-0.11832263268444908,-0.05198829648293273,False
