phase2_group,dataset,split_type,protocol,mode,model,k,max_train_queries,max_test_queries,train_fraction,feature_set,tabpfn_version,seed_count,ndcg@10_mean,ndcg@10_std,recall@10_mean,recall@10_std,mrr_mean,mrr_std,hitrate@10_mean,hitrate@10_std,runtime_seconds_median,n_queries_median
primary,movielens_100k,item_cold,context_popularity,pointwise,tabpfn_native,20,100,100,1.0,full,v2.5,3,0.8263837139824582,0.048106911556436864,0.9433333333333334,0.02081665999466128,0.7947311124977533,0.05584099753137799,0.9433333333333334,0.02081665999466128,17.03338595898822,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,xgboost,20,10,100,0.1,full,v2.5,3,0.5167816277464061,0.1019238132566683,0.85,0.010000000000000009,0.4230174917531729,0.13026047498836368,0.85,0.010000000000000009,0.0323778330057393,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,xgboost,20,20,100,0.2,full,v2.5,3,0.6606906409849423,0.02890619779352212,0.8766666666666666,0.02081665999466135,0.6012770252480005,0.039122828023558376,0.8766666666666666,0.02081665999466135,0.0370602910115849,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,xgboost,20,50,100,0.5,full,v2.5,3,0.6407805303914227,0.04573855633849125,0.8266666666666667,0.05859465277082314,0.5947342213743142,0.04033353929320596,0.8266666666666667,0.05859465277082314,0.0537035829911474,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,xgboost,20,100,100,1.0,full,v2.5,3,0.7466199346136394,0.06037690850592193,0.8966666666666666,0.03511884584284249,0.7078471214887623,0.06709552814137987,0.8966666666666666,0.03511884584284249,0.076061583997216,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,catboost,20,10,100,0.1,full,v2.5,3,0.9029561462976513,0.020013868020068184,0.9899999999999999,0.010000000000000009,0.8751261192511194,0.026866937728520814,0.9899999999999999,0.010000000000000009,0.2221772079938091,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,catboost,20,20,100,0.2,full,v2.5,3,0.9318969949003472,0.008682836480967683,0.9933333333333333,0.005773502691896279,0.9128269600769601,0.01286578182045233,0.9933333333333333,0.005773502691896279,0.2317899159970693,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,catboost,20,50,100,0.5,full,v2.5,3,0.9227477983100347,0.013075212315341688,0.9933333333333333,0.005773502691896279,0.900976501711796,0.01820277941492796,0.9933333333333333,0.005773502691896279,0.2466422909928951,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,catboost,20,100,100,1.0,full,v2.5,3,0.9740256426290307,0.007691950206241215,1.0,0.0,0.9656746031746031,0.010289415486345373,1.0,0.0,0.2719630000065081,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,20,10,100,0.1,full,v2.5,3,0.7318896421214732,0.10119164652704106,0.9866666666666667,0.011547005383792533,0.6450222000222,0.13199806255440444,0.9866666666666667,0.011547005383792533,5.184251583006699,100.0
primary,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,20,20,100,0.2,full,v2.5,3,0.9151846939475304,0.05536011006887634,0.9866666666666667,0.0057735026918962545,0.8922116772116772,0.07239506224180213,0.9866666666666667,0.0057735026918962545,6.0676929999899585,100.0
