ndcg@10,recall@10,mrr,hitrate@10,n_queries,runtime_seconds,dataset,split_type,protocol,model,mode,status,tabpfn_version,k,max_train_queries,max_test_queries,seed,train_fraction,feature_set,phase2_group,source_path
0.4582582679247434,0.68,0.4144887869268674,0.68,50.0,0.1885758750140667,amazon_baby_products,warm,context_popularity,xgboost,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__warm__context_popularity__pointwise__xgboost/amazon_baby_products/warm/results.csv
0.9663092975357144,0.98,0.9640384615384616,0.98,50.0,0.1770692919963039,amazon_baby_products,warm,global_popularity,catboost,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__warm__global_popularity__pointwise__catboost/amazon_baby_products/warm/results.csv
0.9766666666666666,1.0,0.9695238095238096,1.0,50.0,18.99907016698853,amazon_baby_products,warm,global_popularity,tabpfn,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__warm__global_popularity__pointwise__tabpfn/amazon_baby_products/warm/results.csv
0.97314474365544,1.0,0.9655555555555556,1.0,50.0,4.6017462499730755,amazon_baby_products,warm,global_popularity,tabpfn_native,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__warm__global_popularity__pointwise__tabpfn_native/amazon_baby_products/warm/results.csv
0.9657812965263576,0.98,0.9635384615384616,0.98,50.0,0.0552608330035582,amazon_baby_products,warm,global_popularity,xgboost,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__warm__global_popularity__pointwise__xgboost/amazon_baby_products/warm/results.csv
0.6251723424434008,0.8,0.5842375267491366,0.8,50.0,0.2211386249982752,amazon_baby_products,item_cold,context_popularity,catboost,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__item_cold__context_popularity__pointwise__catboost/amazon_baby_products/item_cold/results.csv
0.9457115704285748,1.0,0.9266666666666667,1.0,50.0,126.59612095900228,amazon_baby_products,item_cold,context_popularity,tabpfn,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__item_cold__context_popularity__pointwise__tabpfn/amazon_baby_products/item_cold/results.csv
0.9060933261197482,1.0,0.8775714285714286,1.0,50.0,9.157570959010627,amazon_baby_products,item_cold,context_popularity,tabpfn_native,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__item_cold__context_popularity__pointwise__tabpfn_native/amazon_baby_products/item_cold/results.csv
0.5260361844440432,0.76,0.4714195403839368,0.76,50.0,0.1879104159888811,amazon_baby_products,item_cold,context_popularity,xgboost,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__item_cold__context_popularity__pointwise__xgboost/amazon_baby_products/item_cold/results.csv
1.0,1.0,1.0,1.0,50.0,0.2198729579977225,amazon_baby_products,item_cold,global_popularity,catboost,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__item_cold__global_popularity__pointwise__catboost/amazon_baby_products/item_cold/results.csv
1.0,1.0,1.0,1.0,50.0,18.697509083984187,amazon_baby_products,item_cold,global_popularity,tabpfn,pointwise,ok,v2.5,20,50,50,2,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_002/amazon_baby_products__item_cold__global_popularity__pointwise__tabpfn/amazon_baby_products/item_cold/results.csv
